ts_wall_s,ts_mono_s,dt_s,cpu_logical,cpu_physical,cpu_freq_cur_mhz_mean,cpu_freq_cur_mhz_max,cpu_total_percent,cpu_mean_core_percent,cpu_max_core_percent,cpu_core_count_sampled,loadavg_1,loadavg_5,loadavg_15,procs_running,procs_blocked,ctx_switches_d,interrupts_d,soft_interrupts_d,syscalls_d,cg_nr_periods,cg_nr_throttled,cg_throttled_usec,cg_nr_throttled_d,cg_throttled_usec_d,pct_user,pct_system,pct_idle,pct_iowait,pct_irq,pct_softirq,pct_steal,pct_guest,pct_guest_nice,sec_user_d,sec_system_d,sec_idle_d,sec_iowait_d,sec_irq_d,sec_softirq_d,sec_steal_d,sec_guest_d,sec_guest_nice_d,sec_total_d,proc_cpu_sec_d_sum,proc_cpu_pct_total_sum
1769029703.0050104,860863.290057721,1.0014163960004225,12,6,1236.05075,2913.33,0.3,0.25,1.0,12,0.0,0.07763671875,0.1259765625,1,0,900,471,359,0,0,0,0,0,0,0.16666666666099494,0.08333333332291835,99.75000000001609,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.009999999999308784,11.970000000670552,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000670298,,
1769029704.0069745,860864.292015503,1.0014099570689723,12,6,1208.9110833333334,2940.845,0.2,0.08333333333333333,1.0,12,0.0,0.07763671875,0.1259765625,1,0,872,492,368,0,0,0,0,0,0,0.0833333333434262,0.1666666666868524,99.74999999996972,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000218279,0.020000000000436557,11.969999998807907,0.0,0.0,0.0,0.0,0.0,0.0,11.999999998808562,,
1769029705.0089474,860865.293984932,1.0014064860297367,12,6,1464.2183333333332,3186.565,0.2,0.5833333333333334,2.0,12,0.0,0.07763671875,0.1259765625,1,0,777,517,356,0,0,0,0,0,0,0.1665278934195756,0.0832639467097878,99.75020815987064,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.010000000000218279,11.980000000447035,0.0,0.0,0.0,0.0,0.0,0.0,12.01000000044769,,
1769029706.0109277,860866.295961217,1.0014025680720806,12,6,1203.997,3234.364,0.2,0.08333333333333333,1.0,12,0.0,0.07763671875,0.1259765625,1,0,867,483,349,0,0,0,0,0,0,0.08333333333205119,0.08333333332447208,99.83333333334348,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000218279,0.009999999999308784,11.980000000447035,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000446562,,
1769029707.012879,860867.297928303,1.0014183960156515,12,6,1265.3298333333335,2907.615,0.2,0.16666666666666666,1.0,12,0.0,0.076171875,0.125,1,0,761,316,239,0,0,0,0,0,0,0.16638935108963868,0.08319467555238584,99.66722129780558,0.08319467555238584,0.0,0.0,0.0,0.0,0.0,0.019999999998617568,0.010000000000218279,11.97999999858439,0.010000000000218279,0.0,0.0,0.0,0.0,0.0,12.019999998583444,,
1769029708.0148523,860868.299885146,1.0014017500216141,12,6,1012.91,3190.822,0.3,0.4166666666666667,2.0,12,0.0,0.076171875,0.125,1,0,906,555,442,0,0,0,0,0,0,0.16666666665787488,0.16666666665787488,99.66666666668425,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.020000000000436557,11.96000000089407,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000894943,,
1769029709.0168295,860869.301844813,1.0013843839988112,12,6,1482.9059166666666,3609.494,0.5,0.25,1.0,12,0.0,0.076171875,0.125,1,0,1276,799,572,0,0,0,0,0,0,0.16638935109856784,0.2495840266402852,99.50083194671365,0.0,0.0,0.0831946755475105,0.0,0.0,0.0,0.020000000000436557,0.02999999999974534,11.959999999031425,0.0,0.0,0.010000000000005116,0.0,0.0,0.0,12.019999999031612,,
1769029710.0187554,860870.303753841,1.0013673019129783,12,6,1255.1382499999997,2709.075,0.5,0.5,2.0,12,0.0,0.076171875,0.125,1,0,1723,788,625,0,0,0,0,0,0,0.33361134273427107,0.16680567136713553,99.4995829858986,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999054126,0.019999999999527063,11.930000001564622,0.0,0.0,0.0,0.0,0.0,0.0,11.990000001563203,,
1769029711.0206857,860871.305716722,1.0013999370858073,12,6,1250.9572500000002,3053.915,0.3,0.25,1.0,12,0.0,0.076171875,0.125,1,0,947,531,412,0,0,0,0,0,0,0.1666666666868524,0.0833333333434262,99.74999999996972,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.010000000000218279,11.969999998807907,0.0,0.0,0.0,0.0,0.0,0.0,11.999999998808562,,
1769029712.0226772,860872.307701637,1.0013935019960627,12,6,895.4761666666667,1849.286,0.2,0.16666666666666666,1.0,12,0.0,0.07470703125,0.1240234375,1,0,793,332,279,0,0,0,0,0,0,0.08326394670720258,0.16652789341440516,98.9175686928215,0.8326394670568801,0.0,0.0,0.0,0.0,0.0,0.010000000000218279,0.020000000000436557,11.880000000819564,0.1000000000003638,0.0,0.0,0.0,0.0,0.0,12.010000000820582,,
1769029713.0246327,860873.309752031,1.001488390029408,12,6,1068.2940833333334,2541.286,0.3,0.4166666666666667,2.0,12,0.0,0.07470703125,0.1240234375,1,0,906,512,426,0,0,0,0,0,0,0.1666666666837576,0.16666666667617847,99.66666666664007,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.019999999999527063,11.959999999031425,0.0,0.0,0.0,0.0,0.0,0.0,11.999999999031388,,
