ts_wall_s,ts_mono_s,dt_s,fs_path,fs_total_bytes,fs_used_bytes,fs_free_bytes,fs_percent,disk_read_bytes_d,disk_write_bytes_d,disk_read_count_d,disk_write_count_d,disk_read_MBps,disk_write_MBps,disk_read_iops,disk_write_iops,disk_busy_time_ms_d,proc_read_bytes_d_sum,proc_write_bytes_d_sum
1769029823.9805,860983.264133433,1.0015662460355088,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029824.9820518,860984.265685755,1.001552321948111,/,250375106560,142979694592,94602522624,60.2,0,245760,0,54,0.0,0.2453790926488736,0.0,53.91630453710601,60,,
1769029825.983611,860985.267244758,1.0015590030234307,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029826.9851658,860986.268799362,1.0015546040376648,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029827.9867327,860987.270366227,1.001566865015775,/,250375106560,142979694592,94602522624,60.2,0,24576,0,2,0.0,0.02453755296668378,0.0,1.9968711724189272,66,,
1769029828.9883049,860988.271938644,1.0015724169788882,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029829.9898696,860989.273503056,1.0015644120285287,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029830.99047,860990.274101764,1.0005987079348415,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029831.9920123,860991.275646038,1.0015442740404978,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029832.9935455,860992.277179059,1.001533020986244,/,250375106560,142979698688,94602518528,60.2,0,16384,0,2,0.0,0.016358921430135284,0.0,1.996938651139561,65,,
1769029833.9950948,860993.27872846,1.001549400971271,/,250375106560,142979698688,94602518528,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029834.996664,860994.280297503,1.001569043030031,/,250375106560,142979698688,94602518528,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029835.9982073,860995.281840634,1.0015431309584528,/,250375106560,142979698688,94602518528,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029836.999771,860996.28340521,1.0015645760577172,/,250375106560,142979698688,94602518528,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029896.1437647,861055.427397903,,/,250375106560,142979702784,94602514432,60.2,0,0,0,0,,,,,0,,
1769029897.1451752,861056.428806995,1.0014090919867158,/,250375106560,142979702784,94602514432,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029898.1465547,861057.430186196,1.0013792009558529,/,250375106560,142979702784,94602514432,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029899.1481073,861058.431740047,1.001553850946948,/,250375106560,142979702784,94602514432,60.2,0,122880,0,16,0.0,0.1226893590233012,0.0,15.975176956159011,68,,
